id,lei,nº lei,data,assunto: emenda lei [f()] / é emendado [f(x)],outro assunto [o],assunto,n_palavras,freq_assunto,quais_f,quais_fx,quais_f_o,quais_fx_o,epígrafe,ementa,Artigo 1º,URL,dimensão,benevolência,função social,função social especificamente ligada ao assunto,ramo (dogmático) do direito,ramo (sociológico) do direito,imposição/reconhecimento (pelo jurídico),ferramenta/ambiente,Artigo 1 revogado,efetivamente revogada [r],,
21,L-14.180,14180,01/07/2021,,,29,1027,"2,824%",,,,,"LEI Nº 14.180, DE 1º DE JULHO DE 2021",Institui a Política de Inovação Educação Conectada.,"É instituída a Política de Inovação Educação Conectada, em consonância com a estratégia 7.15 do Plano Nacional de Educação, aprovado pela Lei nº 13.005, de 25 de junho de 2014, com o objetivo de apoiar a universalização do acesso à internet em alta velocidade e fomentar o uso pedagógico de tecnologias digitais na educação básica.",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14180.htm,ontológica,benefício,educação;inclusão,,civil,educação,impõe,ferramenta,,,,
22,L-13.168,13168,06/10/2015,f(),,4,513,"0,780%","('altera', 'l', 9394)",,,,"LEI Nº 13.168, DE 6 DE OUTUBRO DE 2015.","Altera a redação do § 1º do art. 47 da Lei nº 9.394, de 20 de dezembro de 1996 - Lei de Diretrizes e Bases da Educação Nacional.","O § 1º do art. 47 da Lei nº 9.394, de 20 de dezembro de 1996 , passa a vigorar com a seguinte redação:",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13168.htm,normativa,benefício,educação;transparência,,civil,educação,impõe,ferramenta,,,,
23,L-13.165,13165,29/09/2015,f();f(x),o,18,8160,"0,221%","(None, 'l', 9504);(None, 'l', 9430)","('revogado', 'l', 13488)",,,"LEI Nº 13.165, DE 29 DE SETEMBRO DE 2015.","Altera as Leis nº 9.504, de 30 de setembro de 1997, 9.096, de 19 de setembro de 1995, e 4.737, de 15 de julho de 1965 - Código Eleitoral, para reduzir os custos das campanhas eleitorais, simplificar a administração dos Partidos Políticos e incentivar a participação feminina.","Esta Lei modifica as Leis nº 9.504, de 30 de setembro de 1997, 9.096, de 19 de setembro de 1995, e 4.737, de 15 de julho de 1965 - Código Eleitoral, alterando a legislação infraconstitucional e complementando a reforma das instituições político-eleitorais do País.",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13165.htm,normativa,benefício,democracia,transparência;tributação,eleitoral,político,impõe,ferramenta,,,,
24,L-14.297,14297,05/01/2022,,o,6,874,"0,686%",,,,,"LEI Nº 14.297, DE 5 DE JANEIRO DE 2022",Dispõe sobre medidas de proteção asseguradas ao entregador que presta serviço por intermédio de empresa de aplicativo de entrega durante a vigência da emergência em saúde pública decorrente do coronavírus responsável pela covid-19.,"Esta Lei dispõe sobre medidas de proteção asseguradas ao entregador que presta serviço por intermédio de empresa de aplicativo de entrega durante a vigência, no território nacional, da emergência de saúde pública decorrente do coronavírus responsável pela covid-19.",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14297.htm,normativa,benefício,direitos trabalhistas,direitos trabalhistas;salário,trabalhista,trabalho;econômico,impõe,ferramenta;ambiente,,,,
25,L-13.188,13188,11/11/2015,,,7,1539,"0,455%",,,,,"LEI Nº 13.188, DE 11 DE NOVEMBRO DE 2015.","Dispõe sobre o direito de resposta ou retificação do ofendido em matéria divulgada, publicada ou transmitida por veículo de comunicação social.","Esta Lei disciplina o exercício do direito de resposta ou retificação do ofendido em matéria divulgada, publicada ou transmitida por veículo de comunicação social.",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13188.htm,normativa,neutra,indivíduo;democracia;integridade,,civil,ética,impõe;reconhece,ambiente,,,,
26,L-10.167,10167,27/12/2000,f(),o,2,778,"0,257%","('altera', 'l', 9294)",,,,"LEI Nº 10.167, DE 27 DE DEZEMBRO DE 2000.","Altera dispositivos da Lei nº 9.294, de 15 de julho de 1996, que dispõe sobre as restrições ao uso e à propaganda de produtos fumígenos, bebidas alcoólicas, medicamentos, terapias e defensivos agrícolas.","A Lei nº 9.294, de 15 de julho de 1996, passa a vigorar com as seguintes alterações:",https://www.planalto.gov.br/ccivil_03/leis/l10167.htm,normativa,ameaça,comercial;saúde,comercial,civil,econômico,impõe,ambiente,,,,
27,L-14.065,14065,30/09/2020,f(),o,1,1358,"0,074%","('altera', 'l', 13979)",,,,"LEI Nº 14.065, DE 30 DE SETEMBRO DE 2020","Autoriza pagamentos antecipados nas licitações e nos contratos realizados no âmbito da administração pública; adequa os limites de dispensa de licitação; amplia o uso do Regime Diferenciado de Contratações Públicas (RDC) durante o estado de calamidade pública reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020; e altera a Lei nº 13.979, de 6 de fevereiro de 2020.","A administração pública dos entes federativos, de todos os Poderes e órgãos constitucionalmente autônomos fica autorizada a:",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/lei/l14065.htm,normativa,benefício,comercial,transparência,orçamentário,burocrático;econômico,reconhece,ambiente,,,,
28,L-14.442,14442,02/09/2022,f(x),o,4,1647,"0,243%",,"('aprovada', 'l', 5452)","('altera', 'l', 6321)",,"LEI Nº 14.442, DE 2 DE SETEMBRO DE 2022","Dispõe sobre o pagamento de auxílio-alimentação ao empregado e altera a Lei nº 6.321, de 14 de abril de 1976, e a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943.","Esta Lei dispõe sobre o pagamento de auxílio-alimentação ao empregado, bem como altera a Lei nº 6.321, de 14 de abril de 1976, e a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943.",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14442.htm,normativa,ameaça;?,direitos trabalhistas,direitos trabalhistas,trabalhista,trabalho;econômico,reconhece,ambiente,,,,
29,L-14.437,14437,15/08/2022,f(x),o,16,7404,"0,216%",,"('aprovada', 'l', 5452)",,,"LEI Nº 14.437, DE 15 DE AGOSTO DE 2022","Autoriza o Poder Executivo federal a dispor sobre a adoção, por empregados e empregadores, de medidas trabalhistas alternativas e sobre o Programa Emergencial de Manutenção do Emprego e da Renda, para enfrentamento das consequências sociais e econômicas de estado de calamidade pública em âmbito nacional ou em âmbito estadual, distrital ou municipal reconhecido pelo Poder Executivo federal.","Esta Lei autoriza o Poder Executivo federal a dispor sobre a adoção, por empregados e empregadores, de medidas trabalhistas alternativas e sobre o Programa Emergencial de Manutenção do Emprego e da Renda, para enfrentamento das consequências sociais e econômicas de estado de calamidade pública em âmbito nacional ou em âmbito estadual, distrital ou municipal reconhecido pelo Poder Executivo federal.",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14437.htm,normativa,ameaça;?,direitos trabalhistas,direitos trabalhistas,trabalhista,trabalho;econômico,reconhece,ambiente,,,,
30,L-12.034,12034,29/09/2009,f();f(x),o,39,7410,"0,526%","('altera', 'l', 9504);('altera', 'l', 9096)","('definidos', 'l', 10406)",,"('conferido', 'l', 4543)","LEI Nº 12.034, DE 29 DE SETEMBRO DE 2009.","Altera as Leis nºˢ 9.096, de 19 de setembro de 1995 - Lei dos Partidos Políticos, 9.504, de 30 de setembro de 1997, que estabelece normas para as eleições, e 4.737, de 15 de julho de 1965 - Código Eleitoral.","Esta Lei altera as Leis nºˢ 9.096, de 19 de setembro de 1995, 9.504, de 30 de setembro de 1997, e 4.737, de 15 de julho de 1965 - Código Eleitoral.",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/lei/l12034.htm,ontológica;normativa,neutra,democracia,democracia,eleitoral,político,impõe;reconhece,ferramenta,,,,
