id,lei,nº lei,data,assunto: emenda lei [f()] / é emendado [f(x)],outro assunto [o],assunto,n_palavras,freq_assunto,quais_f,quais_fx,quais_f_o,quais_fx_o,epígrafe,ementa,Artigo 1º,URL,dimensão,benevolência,função social,função social especificamente ligada ao assunto,ramo (dogmático) do direito,ramo (sociológico) do direito,imposição/reconhecimento (pelo jurídico),ferramenta/ambiente,Artigo 1 revogado,efetivamente revogada [r],,
161,L-12.340,12340,01/12/2010,f(x),o,2,7961,"0,025%",,"('incluído', 'l', 12983);('redação\ndada', 'l', 12983);('revogado', 'l', 12983);('redação dada', 'l', 12983)","(None, 'l', 12608);('altera', 'l', 9077);('altera', 'dl', 950)","('incluído dada', 'l', 12608);('redação dada', 'l', 12608);('instituído', 'l', 950);('revogado', 'l', 12608);('incluído', 'l', 12608)","LEI Nº 12.340, DE 1º DE DEZEMBRO DE 2010.","Dispõe sobre o Sistema Nacional de Defesa Civil - SINDEC, sobre as transferências de recursos para ações de socorro, assistência às vítimas, restabelecimento de serviços essenciais e reconstrução nas áreas atingidas por desastre, e sobre o Fundo Especial para Calamidades Públicas, e dá outras providências. Dispõe sobre as transferências de recursos da União aos órgãos e entidades dos Estados, Distrito Federal e Municípios para a execução de ações de resposta e recuperação nas áreas atingidas por desastre, e sobre o Fundo Especial para Calamidades Públicas; e dá outras providências. (Redação dada pela Lei nº 12.608, de 2012) Dispõe sobre as transferências de recursos da União aos órgãos e entidades dos Estados, Distrito Federal e Municípios para a execução de ações de prevenção em áreas de risco de desastres, de resposta e de recuperação em áreas atingidas por desastres, sobre o Fundo Nacional para Calamidades Públicas, Proteção e Defesa Civil e dá outras providências. (Redação dada pela Medida Provisória nº 631, de 2013) Dispõe sobre as transferências de recursos da União aos órgãos e entidades dos Estados, Distrito Federal e Municípios para a execução de ações de prevenção em áreas de risco de desastres e de resposta e de recuperação em áreas atingidas por desastres e sobre o Fundo Nacional para Calamidades Públicas, Proteção e Defesa Civil; e dá outras providências. (Redação dada pela Lei nº 12.983, de 2014","O Sistema Nacional de Defesa Civil - SINDEC tem como objetivo planejar, articular e coordenar as ações de defesa civil em todo o território nacional. (Revogado pela Lei nº 12.608, de 2012)",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/lei/l12340.htm,,,,,,,,,,,,
162,L-10.707,10707,30/07/2003,f(x),o,26,36634,"0,071%",,"('criadas', 'l', 10233);('estabelecida', 'l', 10266)",,"('álcool', 'l', 4870);('incluído', 'l', 10777);('instituídos', 'l', 2288);('equacionada', 'l', 110);('criado', 'l', 2288);('alterado', 'l', 102)","LEI Nº 10.707, DE 30 DE JULHO DE 2003.",Dispõe sobre as diretrizes para a elaboração da lei orçamentária de 2004 e dá outras providências.,"São estabelecidas, em cumprimento ao disposto no art. 165, § 2º , da Constituição, e na Lei Complementar nº 101, de 4 de maio de 2000, as diretrizes orçamentárias da União para 2004, compreendendo:",https://www.planalto.gov.br/ccivil_03/leis/2003/l10.707.htm,,,,,,,,,,,,
163,L-8.069,8069,13/07/1990,f(x),o,0,1233,"0,000%",,"('incluído', 'l', 12010)","(None, 'l', 13257)","('incluído', 'l', 13257);('incluído', 'l', 13798);('redação dada', 'l', 13257)","LEI Nº 8.069, DE 13 DE JULHO DE 1990.",Dispõe sobre o Estatuto da Criança e do Adolescente e dá outras providências.,Esta Lei dispõe sobre a proteção integral à criança e ao adolescente.,https://www.planalto.gov.br/ccivil_03/leis/l8069.htm,,,,,,,,,,,,
164,L-13.140,13140,26/06/2015,,o,1,4061,"0,025%",,,"('revoga', 'l', 9469);('altera', 'l', 9469)","('redação dada', 'l', 13327)","LEI Nº 13.140, DE 26 DE JUNHO DE 2015.","Dispõe sobre a mediação entre particulares como meio de solução de controvérsias e sobre a autocomposição de conflitos no âmbito da administração pública; altera a Lei nº 9.469, de 10 de julho de 1997, e o Decreto nº 70.235, de 6 de março de 1972; e revoga o § 2º do art. 6º da Lei nº 9.469, de 10 de julho de 1997.",Esta Lei dispõe sobre a mediação como meio de solução de controvérsias entre particulares e sobre a autocomposição de conflitos no âmbito da administração pública.,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13140.htm,,,,,,,,,,,,
165,L-11.647,11647,24/03/2008,f(),o,5,4448,"0,112%","('altera', 'l', 11647)",,"(None, 'l', 101)",,"LEI Nº 11.647, DE 24 DE MARÇO DE 2008.",Estima a receita e fixa a despesa da União para o exercício financeiro de 2008.,"Esta Lei estima a receita da União para o exercício financeiro de 2008 no montante de R$ 1.424.390.706.030,00 (um trilhão, quatrocentos e vinte e quatro bilhões, trezentos e noventa milhões, setecentos e seis mil e trinta reais) e fixa a despesa em igual valor, compreendendo, nos termos o art. 165, § 5º , da Constituição e dos arts. 7º, 8º e 59 da Lei nº 11.514, de 13 de agosto de 2007, Lei de Diretrizes Orçamentárias para 2008:",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11647.htm,,,,,,,,,,,,
166,L-11.922,11922,13/04/2009,f(),o,1,4542,"0,022%","(None, 'l', 10826)",,"('altera', 'l', 11124);('altera', 'l', 8427);('altera', 'l', 11775);('altera', 'l', 11322)","('atribuição dada', 'l', 10150)","LEI Nº 11.922, DE 13 DE ABRIL DE 2009.","Dispõe sobre a dispensa de recolhimento de parte dos dividendos e juros sobre capital próprio pela Caixa Econômica Federal; altera as Leis nºˢ 11.124, de 16 de junho de 2005, 8.427, de 27 de maio de 1992, 11.322, de 13 de julho de 2006, 11.775, de 17 de setembro de 2008, e a Medida Provisória nº 2.185-35, de 24 de agosto de 2001; prorroga os prazos previstos nos arts. 5º e 30 da Lei nº 10.826, de 22 de dezembro de 2003; e dá outras providências.","Fica a União autorizada a dispensar a Caixa Econômica Federal do recolhimento de parte dos dividendos e dos juros sobre capital próprio, referentes aos exercícios de 2008 a 2010, que lhe seriam devidos, em montante a ser definido pelo Ministro de Estado da Fazenda, respeitado o recolhimento mínimo de 25% (vinte e cinco por cento) do lucro líquido ajustado.",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/lei/l11922.htm,,,,,,,,,,,,
167,LCP-147,147,07/08/2014,f(),o,25,9136,"0,274%","('altera', 'l', 123);('altera', 'l', 8666);('altera', 'l', 11598)",,"('altera', 'l', 8934);('altera', 'l', 9099);('altera', 'l', 11101)","('redação dada', 'l', 139)","LEI COMPLEMENTAR Nº 147, DE 7 DE AGOSTO DE 2014","Altera a Lei Complementar no 123, de 14 de dezembro de 2006, e as Leis nos 5.889, de 8 de junho de 1973, 11.101, de 9 de fevereiro de 2005, 9.099, de 26 de setembro de 1995, 11.598, de 3 de dezembro de 2007, 8.934, de 18 de novembro de 1994, 10.406, de 10 de janeiro de 2002, e 8.666, de 21 de junho de 1993; e dá outras providências.","A Lei Complementar nº 123, de 14 de dezembro de 2006, passa a vigorar com as seguintes alterações:",https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp147.htm,,,,,,,,,,,,
168,L-14.273,14273,23/12/2021,f(),o,8,10272,"0,078%","('altera', 'l', 13448);('altera', 'l', 6015);('altera', 'l', 9636);('altera', 'l', 12815);('altera', 'l', 10233)",,"('altera', 'l', 10257);('altera', 'l', 12379);('altera', 'dl', 3365);('altera', 'l', 9074);('revoga', 'l', 5917)",,"LEI Nº 14.273, DE 23 DE DEZEMBRO DE 2021","Estabelece a Lei das Ferrovias; altera o Decreto-Lei nº 3.365, de 21 de junho de 1941, e as Leis nºs 6.015, de 31 de dezembro de 1973, 9.074, de 7 de julho de 1995, 9.636, de 15 de maio de 1998, 10.233, de 5 de junho de 2001, 10.257, de 10 de julho de 2001, 10.636, de 30 de dezembro de 2002, 12.815, de 5 de junho de 2013, 12.379, de 6 de janeiro de 2011, e 13.448, de 5 de junho de 2017; e revoga a Lei nº 5.917, de 10 de setembro de 1973.","Esta Lei dispõe sobre a organização do transporte ferroviário, o uso da infraestrutura ferroviária, os tipos de outorga para a exploração indireta de ferrovias em território nacional, as operações urbanísticas a elas associadas e dá outras providências.",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14273.htm,,,,,,,,,,,,
169,LCP-194,194,23/06/2022,f(),o,2,4818,"0,042%","('altera', 'l', 10833)",,"('altera', 'l', 10865);('altera', 'l', 192);('altera', 'l', 5172);('altera', 'l', 10336)",,"LEI COMPLEMENTAR Nº 194, DE 23 DE JUNHO DE 2022","Altera a Lei nº 5.172, de 25 de outubro de 1966 (Código Tributário Nacional), e a Lei Complementar nº 87, de 13 de setembro de 1996 (Lei Kandir), para considerar bens e serviços essenciais os relativos aos combustíveis, à energia elétrica, às comunicações e ao transporte coletivo, e as Leis Complementares nºs 192, de 11 de março de 2022, e 159, de 19 de maio de 2017.","A Lei nº 5.172, de 25 de outubro de 1966 (Código Tributário Nacional), passa a vigorar acrescida do seguinte art. 18-A:",https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp194.htm,,,,,,,,,,,,
170,L-12.815,12815,05/06/2013,f(x),o,2,10688,"0,019%",,"('incluído', 'l', 14273);('revogado', 'l', 14301)","(None, 'l', 14047)","('redação dada', 'l', 14047);('incluído', 'l', 14047)","LEI Nº 12.815, DE 5 DE JUNHO DE 2013.","Dispõe sobre a exploração direta e indireta pela União de portos e instalações portuárias e sobre as atividades desempenhadas pelos operadores portuários; altera as Leis nºs 5.025, de 10 de junho de 1966, 10.233, de 5 de junho de 2001, 10.683, de 28 de maio de 2003, 9.719, de 27 de novembro de 1998, e 8.213, de 24 de julho de 1991; revoga as Leis nºs 8.630, de 25 de fevereiro de 1993, e 11.610, de 12 de dezembro de 2007, e dispositivos das Leis nºs 11.314, de 3 de julho de 2006, e 11.518, de 5 de setembro de 2007; e dá outras providências.","Esta Lei regula a exploração pela União, direta ou indiretamente, dos portos e instalações portuárias e as atividades desempenhadas pelos operadores portuários.",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/lei/l12815.htm,,,,,,,,,,,,
171,L-12.101,12101,27/11/2009,f();f(x),o,5,10494,"0,048%","('altera', 'l', 8212)","('fixado', 'l', 123);('redação dada', 'l', 13204);('redação dada', 'l', 13043);('aprovada', 'l', 5452)","('altera', 'l', 8742);('altera', 'l', 12868)","('revogado', 'l', 187);('redação dada', 'l', 12453);('redação dada', 'l', 13530);('redação dada', 'l', 12688);('incluído', 'l', 13650);('redação dada', 'l', 13151);('incluído', 'l', 13530);('redação dada', 'l', 12868);('incluído', 'l', 12453);('incluído', 'l', 12868)","LEI Nº 12.101, DE 27 DE NOVEMBRO DE 2009.","Dispõe sobre a certificação das entidades beneficentes de assistência social; regula os procedimentos de isenção de contribuições para a seguridade social; altera a Lei nº 8.742, de 7 de dezembro de 1993; revoga dispositivos das Leis nºˢ 8.212, de 24 de julho de 1991, 9.429, de 26 de dezembro de 1996, 9.732, de 11 de dezembro de 1998, 10.684, de 30 de maio de 2003, e da Medida Provisória nº 2.187-13, de 24 de agosto de 2001; e dá outras providências.","A certificação das entidades beneficentes de assistência social e a isenção de contribuições para a seguridade social serão concedidas às pessoas jurídicas de direito privado, sem fins lucrativos, reconhecidas como entidades beneficentes de assistência social com a finalidade de prestação de serviços nas áreas de assistência social, saúde ou educação, e que atendam ao disposto nesta Lei. (Vide ADIN 4480)",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/lei/l12101.htm,,,,,,,,,,,,
172,L-10.266,10266,24/07/2001,,o,11,18233,"0,060%",,,"(None, 'l', 2002)","('instituídos', 'l', 2288);('alterado', 'l', 102)","LEI Nº 10.266, DE 24 DE JULHO DE 2001.",Dispõe sobre as diretrizes para a elaboração da lei orçamentária de 2002 e dá outras providências.,"São estabelecidas, em cumprimento ao disposto no art. 165, § 2º , da Constituição, as diretrizes orçamentárias da União para 2002, compreendendo:",https://www.planalto.gov.br/ccivil_03/leis/leis_2001/l10266.htm,,,,,,,,,,,,
173,L-13.360,13360,17/11/2016,,o,3,5744,"0,052%",,,"('altera', 'l', 13203);('altera', 'l', 5655)",,"LEI Nº 13.360, DE 17 DE NOVEMBRO DE 2016.","Altera a Lei nº 5.655, de 20 de maio de 1971, a Lei nº 10.438, de 26 de abril de 2002, a Lei nº 9.648, de 27 de maio de 1998, a Lei nº 12.111, de 9 de dezembro de 2009, a Lei nº 12.783, de 11 de janeiro de 2013, a Lei nº 9.074, de 7 de julho de 1995, a Lei nº 7.990, de 28 de dezembro de 1989, a Lei nº 9.491, de 9 de setembro de 1997, a Lei nº 9.427, de 26 de dezembro de 1996, a Lei nº 10.848, de 15 de março de 2004, a Lei nº 11.488, de 15 de junho de 2007, a Lei nº 12.767, de 27 de dezembro de 2012, a Lei nº 13.334, de 13 de setembro de 2016, a Lei nº 13.169, de 6 de outubro de 2015, a Lei nº 11.909, de 4 de março de 2009, e a Lei nº 13.203, de 8 de dezembro de 2015; e dá outras providências.","O art. 4º da Lei nº 5.655, de 20 de maio de 1971 , passa a vigorar com a seguinte redação:",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/lei/l13360.htm,,,,,,,,,,,,
174,L-11.897,11897,30/12/2008,f(),o,7,5482,"0,128%","('altera', 'l', 11897)",,,,"LEI Nº 11.897, DE 30 DE DEZEMBRO DE 2008.",Estima a receita e fixa a despesa da União para o exercício financeiro de 2009.,"Esta Lei estima a receita da União para o exercício financeiro de 2009 no montante de R$ 1.660.729.655.083,00 (um trilhão, seiscentos e sessenta bilhões, setecentos e vinte e nove milhões, seiscentos e cinqüenta e cinco mil e oitenta e três reais) e fixa a despesa em igual valor, compreendendo, nos termos do art. 165, § 5º , da Constituição, e dos arts. 6º, 7º e 55 da Lei nº 11.768, de 14 de agosto de 2008, Lei de Diretrizes Orçamentárias para 2009:",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11897.htm,,,,,,,,,,,,
175,L-14.011,14011,10/06/2020,,o,6,5343,"0,112%",,,"(None, 'dl', 2398)",,"LEI Nº 14.011, DE 10 DE JUNHO DE 2020","Aprimora os procedimentos de gestão e alienação dos imóveis da União; altera as Leis nºs 6.015, de 31 de dezembro de 1973, 9.636, de 15 de maio de 1998, 13.240, de 30 de dezembro de 2015, 13.259, de 16 de março de 2016, e 10.204, de 22 de fevereiro de 2001, e o Decreto-Lei nº 2.398, de 21 de dezembro de 1987; revoga dispositivos das Leis nºs 9.702, de 17 de novembro de 1998, 11.481, de 31 de maio de 2007, e 13.874, de 20 de setembro de 2019; e dá outras providências.",VETADO).,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/lei/l14011.htm,,,,,,,,,r,,,
176,L-13.988,13988,14/04/2020,,o,4,5544,"0,072%",,,,"('redação dada', 'l', 14375);('redação\ndada', 'l', 14375);('incluído', 'l', 14375)","LEI Nº 13.988, DE 14 DE ABRIL DE 2020","Dispõe sobre a transação nas hipóteses que especifica; e altera as Leis nºs 13.464, de 10 de julho de 2017, e 10.522, de 19 de julho de 2002.","Esta Lei estabelece os requisitos e as condições para que a União, as suas autarquias e fundações, e os devedores ou as partes adversas realizem transação resolutiva de litígio relativo à cobrança de créditos da Fazenda Pública, de natureza tributária ou não tributária.",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/lei/l13988.htm,,,,,,,,,,,,
177,L-11.727,11727,23/06/2008,f();f(x),o,4,12007,"0,033%","('altera', 'l', 10833);(None, 'l', 10833);('altera', 'l', 9430);('altera', 'l', 11196)","('redação dada', 'l', 11827);('incluída', 'l', 11827);('incluído', 'l', 11827);('redação\ndada', 'l', 11827);('revogada', 'l', 11827)","(None, 'l', 9250);('altera', 'l', 10637);('altera', 'l', 10865);('altera', 'l', 11051);('altera', 'l', 9393);('altera', 'l', 9718);('altera', 'l', 7070);('altera', 'l', 7689)","('redação dada', 'l', 12844)","LEI Nº 11.727, DE 23 DE JUNHO DE 2008.","Dispõe sobre medidas tributárias destinadas a estimular os investimentos e a modernização do setor de turismo, a reforçar o sistema de proteção tarifária brasileiro, a estabelecer a incidência de forma concentrada da Contribuição para o PIS/Pasep e da Contribuição para o Financiamento da Seguridade Social – Cofins na produção e comercialização de álcool; altera as Leis nºˢ 10.865, de 30 de abril de 2004, 11.488, de 15 de junho de 2007, 9.718, de 27 de novembro de 1998, 11.196, de 21 de novembro de 2005, 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, 7.689, de 15 de dezembro de 1988, 7.070, de 20 de dezembro de 1982, 9.250, de 26 de dezembro de 1995, 9.430, de 27 de dezembro de 1996, 9.249, de 26 de dezembro de 1995, 11.051, de 29 de dezembro de 2004, 9.393, de 19 de dezembro de 1996, 8.213, de 24 de julho de 1991, 7.856, de 24 de outubro de 1989, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; e dá outras providências.","Para efeito de apuração da base de cálculo do imposto de renda, a pessoa jurídica que explore a atividade de hotelaria poderá utilizar depreciação acelerada incentivada de bens móveis integrantes do ativo imobilizado, adquiridos a partir da data da publicação da Medida Provisória nº 413, de 3 de janeiro de 2008, até 31 de dezembro de 2010, calculada pela aplicação da taxa de depreciação admitida pela legislação tributária, sem prejuízo da depreciação contábil.",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11727.htm,,,,,,,,,,,,
178,L-14.133,14133,01/04/2021,f();f(x),o,101,39314,"0,257%","(None, 'l', 130)","('regidos', 'l', 13303);('regidas', 'l', 13303)","('altera', 'l', 11079)","('redação dada', 'l', 198);('instituídos', 'l', 10973);('redação\ndada', 'l', 198)","LEI Nº 14.133, DE 1º DE ABRIL DE 2021",Lei de Licitações e Contratos Administrativos.,"Esta Lei estabelece normas gerais de licitação e contratação para as Administrações Públicas diretas, autárquicas e fundacionais da União, dos Estados, do Distrito Federal e dos Municípios, e abrange:",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14133.htm,,,,,,,,,,,,
179,L-10.933,10933,11/08/2004,f(x),o,81,32630,"0,248%",,"('redação\ndada', 'l', 11318);('incluído dada', 'l', 11450);('alterado', 'l', 11318);('redação dada', 'l', 11450);('redação dada', 'l', 11318);('alterados', 'l', 11318);('incluído', 'l', 11318)",,"('redação dada', 'l', 11044);('incluído', 'l', 11044)","LEI Nº 10.933, DE 11 DE AGOSTO DE 2004.",Dispõe sobre o Plano Plurianual para o período 2004/2007.,"Esta Lei institui o Plano Plurianual para o quadriênio 2004/2007, em cumprimento ao disposto no art. 165, § 1º , da Constituição. (Redação dada pela Lei nº 11.318, de 2006)",https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2004/lei/l10.933.htm,,,,,,,,,,,,
180,L-11.952,11952,25/06/2009,f();f(x),o,7,15411,"0,045%","('altera', 'l', 6015);('altera', 'l', 8666);('altera', 'l', 13465)","('redação dada', 'l', 13465);('incluída', 'l', 13465);('incluído', 'l', 13465);('redação\ndada', 'l', 13465)",,"('redação dada', 'l', 13844);('disciplinada', 'l', 1942);('incluído', 'l', 14285)","LEI Nº 11.952, DE 25 DE JUNHO DE 2009.","Dispõe sobre a regularização fundiária das ocupações incidentes em terras situadas em áreas da União, no âmbito da Amazônia Legal; altera as Leis nºˢ 8.666, de 21 de junho de 1993, e 6.015, de 31 de dezembro de 1973; e dá outras providências. Dispõe sobre regularização fundiária das ocupações incidentes em terras situadas em áreas da União ou do Instituto Nacional de Colonização e Reforma Agrária - Incra, altera a Lei nº 8.666, de 21 de junho de 1993, e a Lei nº 6.015, de 31 de dezembro de 1973, e dá outras providências. ( Redação dada pela Medida Provisória nº 910, de 2019) (Vigência encerrada) Dispõe sobre a regularização fundiária das ocupações incidentes em terras situadas em áreas da União, no âmbito da Amazônia Legal; altera as Leis nºˢ 8.666, de 21 de junho de 1993, e 6.015, de 31 de dezembro de 1973; e dá outras providências.","Esta Lei dispõe sobre a regularização fundiária das ocupações incidentes em terras situadas em áreas da União, no âmbito da Amazônia Legal, definida no art. 2º da Lei Complementar nº 124, de 3 de janeiro de 2007, mediante alienação e concessão de direito real de uso de imóveis.",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/lei/l11952.htm,,,,,,,,,,,,
181,L-14.112,14112,24/12/2020,f(),o,27,19005,"0,142%","(None, 'l', 10522)",,,,"LEI Nº 14.112, DE 24 DE DEZEMBRO DE 2020","Altera as Leis nºs 11.101, de 9 de fevereiro de 2005, 10.522, de 19 de julho de 2002, e 8.929, de 22 de agosto de 1994, para atualizar a legislação referente à recuperação judicial, à recuperação extrajudicial e à falência do empresário e da sociedade empresária.","A Lei nº 11.101, de 9 de fevereiro de 2005 , passa a vigorar com as seguintes alterações:",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/lei/l14112.htm,,,,,,,,,,,,
182,L-12.096,12096,24/11/2009,f();f(x),o;?,37,5458,"0,678%","(None, 'l', 13132)","('redação dada', 'l', 12873);('incluído', 'l', 13132);('redação\ndada', 'l', 13043)","('altera', 'l', 11948);('altera', 'l', 9818);('altera', 'l', 10925)","('redação dada', 'l', 13000);('revogado', 'l', 12385);('incluído', 'l', 12814);('incluído', 'l', 12833);('redação dada', 'l', 13295);('redação dada', 'l', 12545);('incluído', 'l', 13000);('redação dada', 'l', 12814);('redação dada', 'l', 12453);('redação\ndada', 'l', 12814);('incluído', 'l', 12453);('incluído', 'l', 13126);('redação dada', 'l', 12712)","LEI Nº 12.096, DE 24 DE NOVEMBRO DE 2009.","Autoriza a concessão de subvenção econômica ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES, em operações de financiamento destinadas à aquisição e produção de bens de capital e à inovação tecnológica; altera as Leis nºˢ 10.925, de 23 de julho de 2004, 11.948, de 16 de junho de 2009, e 9.818, de 23 de agosto de 1999; revoga dispositivos da Medida Provisória nº 462, de 14 de maio de 2009, e do Decreto nº 70.235, de 6 de março de 1972; e dá outras providências.","Fica a União autorizada a conceder subvenção econômica, sob a modalidade de equalização de taxas de juros, nas operações de financiamento contratadas até 31 de dezembro de 2011: (Redação dada pela Medida Provisória nº 526, de 2011)",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/lei/l12096.htm,,,,,,,,,,,,
183,L-14.601,14601,19/06/2023,f(x),o,13,5843,"0,222%",,"('instituído', 'l', 14284)","('altera', 'l', 10835);('altera', 'l', 8742);('altera', 'l', 10820);('altera', 'l', 10779)","('instituído', 'l', 14237)","LEI Nº 14.601, DE 19 DE JUNHO DE 2023","Institui o Programa Bolsa Família; altera a Lei nº 8.742, de 7 de dezembro de 1993 (Lei Orgânica da Assistência Social), a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento, e a Lei nº 10.779, de 25 de novembro de 2003; e revoga dispositivos das Leis nºs 14.284, de 29 de dezembro de 2021, e 14.342, de 18 de maio de 2022, e a Medida Provisória nº 1.155, de 1º de janeiro de 2023.","Fica instituído o Programa Bolsa Família, no âmbito do Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome, em substituição ao Programa Auxílio Brasil, instituído pela Lei nº 14.284, de 29 de dezembro de 2021.",https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/lei/l14601.htm,,,,,,,,,,,,
184,L-13.846,13846,18/06/2019,f();f(x),o,17,12783,"0,133%","('altera', 'l', 8212);('altera', 'l', 6015);('altera', 'l', 11481);('altera', 'l', 10876)","('revogado', 'l', 14261)","('altera', 'l', 9717);('revoga', 'l', 10666);('altera', 'l', 8112);('revoga', 'l', 11720);('altera', 'l', 9620);('altera', 'l', 9796);('altera', 'l', 8742);('altera', 'l', 7783);('altera', 'l', 11907);('altera', 'l', 8213);('altera', 'l', 10887);('revoga', 'l', 9796)","('redação dada', 'l', 14431);('redação dada', 'l', 14441);('incluído', 'l', 14441);('incluído', 'l', 14431);('instituído', 'l', 5107)","LEI Nº 13.846, DE 18 DE JUNHO DE 2019","Institui o Programa Especial para Análise de Benefícios com Indícios de Irregularidade, o Programa de Revisão de Benefícios por Incapacidade, o Bônus de Desempenho Institucional por Análise de Benefícios com Indícios de Irregularidade do Monitoramento Operacional de Benefícios e o Bônus de Desempenho Institucional por Perícia Médica em Benefícios por Incapacidade; altera as Leis nºˢ 6.015, de 31 de dezembro de 1973, 7.783, de 28 de junho de 1989, 8.112, de 11 de dezembro de 1990, 8.212, de 24 de julho de 1991, 8.213, de 24 de julho de 1991, 8.742, de 7 de dezembro de 1993, 9.620, de 2 de abril de 1998, 9.717, de 27 de novembro de 1998, 9.796, de 5 de maio de 1999, 10.855, de 1º de abril de 2004, 10.876, de 2 de junho de 2004, 10.887, de 18 de junho de 2004, 11.481, de 31 de maio de 2007, e 11.907, de 2 de fevereiro de 2009; e revoga dispositivo da Lei nº 10.666, de 8 de maio de 2003, e a Lei nº 11.720, de 20 de junho de 2008.","Ficam instituídos, no âmbito do Instituto Nacional do Seguro Social (INSS):",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/l13846.htm,,,,,,,,,,,,
185,L-10.826,10826,22/12/2003,f(x),o,5,9358,"0,053%",,"('revogado', 'l', 11706);('redação\ndada', 'l', 11706);('redação dada', 'l', 13964);('incluído', 'l', 13964);('redação dada', 'l', 11706);('incluído', 'l', 11706)",,"('incluído', 'l', 13886);('incluído', 'l', 10867);('redação dada', 'l', 11501);('incluído', 'l', 12993);('redação dada', 'l', 13500);('redação dada', 'l', 10867);('incluído', 'l', 11118);('incluído', 'l', 13870);('redação dada', 'l', 10884);('incluído', 'l', 12694);('redação\ndada', 'l', 13886)","LEI Nº 10.826, DE 22 DE DEZEMBRO DE 2003.","Dispõe sobre registro, posse e comercialização de armas de fogo e munição, sobre o Sistema Nacional de Armas  Sinarm, define crimes e dá outras providências.","O Sistema Nacional de Armas  Sinarm, instituído no Ministério da Justiça, no âmbito da Polícia Federal, tem circunscrição em todo o território nacional.",https://www.planalto.gov.br/ccivil_03/leis/2003/l10.826.htm,,,,,,,,,,,,
186,L-14.301,14301,07/01/2022,f(),o,7,5991,"0,117%","('altera', 'l', 10893);('altera', 'l', 10233)",,"('altera', 'l', 5474);(None, 'l', 9432);(None, 'dl', 2784);(None, 'l', 6);('altera', 'l', 11033);('altera', 'l', 9432)",,"LEI Nº 14.301, DE 7 DE JANEIRO DE 2022","Institui o Programa de Estímulo ao Transporte por Cabotagem (BR do Mar); altera as Leis nºs 5.474, de 18 de julho de 1968, 9.432, de 8 de janeiro de 1997, 10.233, de 5 de junho de 2001, 10.893, de 13 de julho de 2004, e 11.033, de 21 de dezembro de 2004; e revoga o Decreto do Poder Legislativo nº 123, de 11 de novembro de 1892, e o Decreto-Lei nº 2.784, de 20 de novembro de 1940, e dispositivos da Medida Provisória nº 2.217-3, de 4 de setembro de 2001, e das Leis nºs 6.458, de 1º de novembro de 1977, 11.434, de 28 de dezembro de 2006, 11.483, de 31 de maio de 2007, 11.518, de 5 de setembro de 2007, 12.599, de 23 de março de 2012, 12.815, de 5 de junho de 2013, e 13.848, de 25 de junho de 2019.","Fica instituído o Programa de Estímulo ao Transporte por Cabotagem (BR do Mar), com os seguintes objetivos:",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14301.htm,,,,,,,,,,,,
187,DEL-3.688,3688,03/10/1941,f(x),o,1,4393,"0,023%",,"('redação dada', 'l', 13155)",,"('revogado', 'l', 6815);('redação dada', 'l', 6916);('revogado', 'l', 13718);('revogado', 'l', 9521);('revogado', 'l', 11983);('redação dada', 'l', 6416);('incluído', 'l', 10741);('revogado', 'l', 14132);('redação dada', 'l', 6734);('revogado', 'l', 13106);('pela', 'l', 14197);('revogado', 'l', 6416)","DECRETO-LEI Nº 3.688, DE 3 DE OUTUBRO DE 1941",Lei das Contravenções Penais,"Aplicam-se as contravenções às regras gerais do Código Penal, sempre que a presente lei não disponha de modo diverso.",https://www.planalto.gov.br/ccivil_03/decreto-lei/del3688.htm,,,,,,,,,,,,
